age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
1.2278262613112725,2,-0.22579588015032445,15,1,2,13,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,>50K
1.2278262613112725,5,-1.2351825532557488,15,1,2,3,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,>50K
0.7187681032938215,2,0.1568035137902957,1,13,0,0,1,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K.
-0.8471782277730199,2,0.4725556401916127,1,13,2,2,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
-0.0055579627050824166,2,0.629303592194705,11,15,0,7,1,2,0,-5.199337582605575,-5.199337582605575,-1.5285106179313384,38,<=50K
-0.22133229861478437,4,-0.03427297241442544,8,2,2,2,0,4,1,-5.199337582605575,-5.199337582605575,2.234368755587932,38,<=50K
0.3222961079434848,2,1.2352536788264832,9,4,3,13,1,4,1,-5.199337582605575,-5.199337582605575,1.5748142127336633,38,<=50K
0.2585157837164776,2,1.6115514537478235,15,1,2,0,5,4,0,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,>50K
-0.14782184326338985,2,0.2585085111001116,9,4,4,11,1,4,1,-5.199337582605575,-5.199337582605575,0.9913642289528561,38,<=50K
1.778096381789345,2,-0.30981414832811266,1,13,6,12,4,4,0,-5.199337582605575,-5.199337582605575,-1.7647527938338965,38,<=50K
-0.6762351600536955,4,-0.03896727013158794,12,5,2,3,5,4,0,-5.199337582605575,-5.199337582605575,-1.138315141789173,38,>50K
-0.44193452638497827,2,-0.8797926139462792,5,10,0,6,4,4,0,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
-0.5167631486700538,2,0.2807092766371566,15,1,4,11,1,4,1,-5.199337582605575,-5.199337582605575,0.6554235052344266,38,>50K
-0.2960602948940883,2,-0.8716576337080524,2,14,2,10,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
-1.037860916512789,5,0.18876899112217024,9,4,4,0,1,4,0,-5.199337582605575,-5.199337582605575,1.89835246184904,38,<=50K
-1.2955749870976874,2,-0.2532807988474556,0,12,4,11,1,4,0,-5.199337582605575,1.8408161388352449,-1.2891692692508816,38,<=50K
-0.8471782277730199,2,0.37942531665385154,12,5,4,9,1,4,0,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
0.45730740097787487,2,-0.2186524164078656,11,15,4,2,1,2,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
0.06395982372697773,2,0.6240650063790002,12,5,2,9,0,2,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,>50K
1.0331106788891062,4,0.13211384979070925,12,5,2,3,0,4,1,1.8817721233932003,-5.199337582605575,-0.9469177163221377,38,>50K.
-1.5943183711001618,2,-1.0560085188317414,15,1,4,11,3,4,0,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K.
-0.07510265212747637,2,-0.7923647962636772,11,15,0,13,3,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K.
-1.2955749870976874,2,-1.4291052448878774,15,1,4,12,1,4,0,-5.199337582605575,-5.199337582605575,1.5748142127336633,38,<=50K
0.3222961079434848,1,-0.03469829677329045,6,11,2,7,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
0.773841732337253,2,0.9761909877361856,11,15,2,2,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,>50K
0.9042673435995685,2,1.3255120814992631,11,15,2,2,0,4,1,-5.199337582605575,-5.199337582605575,-0.10859276578102589,38,<=50K
1.1598258088790803,2,0.8992838768456117,11,15,2,9,0,4,1,-5.199337582605575,-5.199337582605575,0.7552302107870829,38,<=50K
0.1929391141009387,2,2.5281452341866957,14,6,2,2,0,4,1,1.6678591995548429,-5.199337582605575,-0.10859276578102589,25,>50K
0.3874164958336387,2,-1.0213603255188186,12,5,4,9,1,4,1,-5.199337582605575,-5.199337582605575,1.5748142127336633,38,>50K.
0.8353020351288667,2,-1.270983747312291,11,15,2,2,0,4,1,-5.199337582605575,-5.199337582605575,0.9913642289528561,38,>50K
1.2278262613112725,2,-0.23630542104906666,12,5,2,3,5,4,0,-5.199337582605575,-5.199337582605575,0.9913642289528561,38,<=50K
